Swedish,English,Category,Example,Article
yoga,yoga,sports,Vi spelar yoga på lördagarna.,en
gym,gym,sports,Vi spelar gym på lördagarna.,ett
träning,workout,sports,Vi spelar träning på lördagarna.,en
match,match,sports,Vi spelar match på lördagarna.,en
tävling,competition,sports,Vi spelar tävling på lördagarna.,en
lag,team,sports,Vi spelar lag på lördagarna.,ett
spelare,player,sports,Vi spelar spelare på lördagarna.,en
tränare,coach,sports,Vi spelar tränare på lördagarna.,en
mål,goal,sports,Vi spelar mål på lördagarna.,ett
poäng,score,sports,Vi spelar poäng på lördagarna.,en
seger,victory,sports,Vi spelar seger på lördagarna.,en
förlust,defeat,sports,Vi spelar förlust på lördagarna.,en
stadion,stadium,sports,Vi spelar stadion på lördagarna.,en
boll,ball,sports,Vi spelar boll på lördagarna.,en
nät,net,sports,Vi spelar nät på lördagarna.,ett
racket,racket,sports,Vi spelar racket på lördagarna.,en
handboll,handball,sports,Vi spelar handboll på lördagarna.,en
volleyboll,volleyball,sports,Vi spelar volleyboll på lördagarna.,en
friidrott,athletics,sports,Vi spelar friidrott på lördagarna.,en
rodd,rowing,sports,Vi spelar rodd på lördagarna.,en
segling,sailing,sports,Vi spelar segling på lördagarna.,en
klättring,climbing,sports,Vi spelar klättring på lördagarna.,en
vandring,hiking,sports,Vi spelar vandring på lördagarna.,en
simhall,swimming pool,sports,Vi spelar simhall på lördagarna.,en
rekord,record,sports,Vi spelar rekord på lördagarna.,ett
medalj,medal,sports,Vi spelar medalj på lördagarna.,en
mästare,champion,sports,Vi spelar mästare på lördagarna.,en
turnering,tournament,sports,Vi spelar turnering på lördagarna.,en
straff,penalty,sports,Vi spelar straff på lördagarna.,ett
skridsko,ice skate,sports,Vi spelar skridsko på lördagarna.,en
slalom,slalom,sports,Vi spelar slalom på lördagarna.,en
friluftsliv,outdoor life,sports,Vi spelar friluftsliv på lördagarna.,ett
löparskor,running shoes,sports,Vi spelar löparskor på lördagarna.,en
läsning,reading,hobbies,Min hobby är läsning.,en
skrivande,writing,hobbies,Min hobby är skrivande.,ett
målning,painting,hobbies,Min hobby är målning.,en
teckning,drawing,hobbies,Min hobby är teckning.,en
fotografering,photography,hobbies,Min hobby är fotografering.,en
matlagning,cooking,hobbies,Min hobby är matlagning.,en
bakning,baking,hobbies,Min hobby är bakning.,en
trädgårdsarbete,gardening,hobbies,Min hobby är trädgårdsarbete.,ett
stickning,knitting,hobbies,Min hobby är stickning.,en
sömnad,sewing,hobbies,Min hobby är sömnad.,en
dans,dancing,hobbies,Min hobby är dans.,en
teater,theater,hobbies,Min hobby är teater.,en
spel,gaming,hobbies,Min hobby är spel.,ett
pussel,puzzle,hobbies,Min hobby är pussel.,ett
schack,chess,hobbies,Min hobby är schack.,ett
fiske,fishing,hobbies,Min hobby är fiske.,ett
jakt,hunting,hobbies,Min hobby är jakt.,en
ridning,horse riding,hobbies,Min hobby är ridning.,en
camping,camping,hobbies,Min hobby är camping.,en
samling,collecting,hobbies,Min hobby är samling.,en
modellbygge,model building,hobbies,Min hobby är modellbygge.,ett
träsnideri,woodcarving,hobbies,Min hobby är träsnideri.,ett
keramik,ceramics,hobbies,Min hobby är keramik.,en
vinprovning,wine tasting,hobbies,Min hobby är vinprovning.,en
origami,origami,hobbies,Min hobby är origami.,ett
dator,computer,technology,Jag använder dator varje dag.,en
laptop,laptop,technology,Jag använder laptop varje dag.,en
telefon,phone,technology,Jag använder telefon varje dag.,en
smartphone,smartphone,technology,Jag använder smartphone varje dag.,en
surfplatta,tablet,technology,Jag använder surfplatta varje dag.,en
skärm,screen,technology,Jag använder skärm varje dag.,en
tangentbord,keyboard,technology,Jag använder tangentbord varje dag.,ett
mus,mouse (computer),technology,Jag använder mus varje dag.,en
skrivare,printer,technology,Jag använder skrivare varje dag.,en
kamera,camera,technology,Jag använder kamera varje dag.,en
internet,internet,technology,Jag använder internet varje dag.,ett
wifi,wifi,technology,Jag använder wifi varje dag.,ett
app,app,technology,Jag använder app varje dag.,en
program,software,technology,Jag använder program varje dag.,ett
hemsida,website,technology,Jag använder hemsida varje dag.,en
e-post,email,technology,Jag använder e-post varje dag.,en
lösenord,password,technology,Jag använder lösenord varje dag.,ett
data,data,technology,Jag använder data varje dag.,ett
fil,file,technology,Jag använder fil varje dag.,en
mapp,folder,technology,Jag använder mapp varje dag.,en
server,server,technology,Jag använder server varje dag.,en
nätverk,network,technology,Jag använder nätverk varje dag.,ett
bluetooth,bluetooth,technology,Jag använder bluetooth varje dag.,ett
batteri,battery,technology,Jag använder batteri varje dag.,ett
laddare,charger,technology,Jag använder laddare varje dag.,en
hörlurar,headphones,technology,Jag använder hörlurar varje dag.,en
högtalare,speaker,technology,Jag använder högtalare varje dag.,en
TV,TV,technology,Jag använder TV varje dag.,en
radio,radio,technology,Jag använder radio varje dag.,en
robot,robot,technology,Jag använder robot varje dag.,en
artificiell intelligens,artificial intelligence,technology,Jag använder artificiell intelligens varje dag.,en
sociala medier,social media,technology,Jag använder sociala medier varje dag.,ett
videospel,video game,technology,Jag använder videospel varje dag.,ett
strömning,streaming,technology,Jag använder strömning varje dag.,en
satellit,satellite,technology,Jag använder satellit varje dag.,en
bil,car,transport,Vi åker med bil till stan.,en
buss,bus,transport,Vi åker med buss till stan.,en
tåg,train,transport,Vi åker med tåg till stan.,ett
tunnelbana,subway,transport,Vi åker med tunnelbana till stan.,en
spårvagn,tram,transport,Vi åker med spårvagn till stan.,en
taxi,taxi,transport,Vi åker med taxi till stan.,en
cykel,bicycle,transport,Vi åker med cykel till stan.,en
motorcykel,motorcycle,transport,Vi åker med motorcykel till stan.,en
flygplan,airplane,transport,Vi åker med flygplan till stan.,ett
helikopter,helicopter,transport,Vi åker med helikopter till stan.,en
båt,boat,transport,Vi åker med båt till stan.,en
fartyg,ship,transport,Vi åker med fartyg till stan.,ett
lastbil,truck,transport,Vi åker med lastbil till stan.,en
ambulans,ambulance,transport,Vi åker med ambulans till stan.,en
station,station,transport,Vi åker med station till stan.,en
flygplats,airport,transport,Vi åker med flygplats till stan.,en
hamn,harbor,transport,Vi åker med hamn till stan.,en
väg,road,transport,Vi åker med väg till stan.,en
motorväg,highway,transport,Vi åker med motorväg till stan.,en
bro,bridge,transport,Vi åker med bro till stan.,en
tunnel,tunnel,transport,Vi åker med tunnel till stan.,en
parkering,parking,transport,Vi åker med parkering till stan.,en
trafik,traffic,transport,Vi åker med trafik till stan.,en
körkort,driver's license,transport,Vi åker med körkort till stan.,ett
bensin,gasoline,transport,Vi åker med bensin till stan.,en
elbil,electric car,transport,Vi åker med elbil till stan.,en
kollektivtrafik,public transport,transport,Vi åker med kollektivtrafik till stan.,en
hållplats,bus stop,transport,Vi åker med hållplats till stan.,en
avgång,departure,transport,Vi åker med avgång till stan.,en
ankomst,arrival,transport,Vi åker med ankomst till stan.,en
stad,city,places,Vi besökte stad på semestern.,en
by,village,places,Vi besökte by på semestern.,en
land,country,places,Vi besökte land på semestern.,ett
park,park,places,Vi besökte park på semestern.,en
torg,square,places,Vi besökte torg på semestern.,ett
gata,street,places,Vi besökte gata på semestern.,en
restaurang,restaurant,places,Vi besökte restaurang på semestern.,en
café,café,places,Vi besökte café på semestern.,ett
bar,bar,places,Vi besökte bar på semestern.,en
hotell,hotel,places,Vi besökte hotell på semestern.,ett
museum,museum,places,Vi besökte museum på semestern.,ett
bio,cinema,places,Vi besökte bio på semestern.,en
kyrka,church,places,Vi besökte kyrka på semestern.,en
moské,mosque,places,Vi besökte moské på semestern.,en
bank,bank,places,Vi besökte bank på semestern.,en
post,post office,places,Vi besökte post på semestern.,en
polisstation,police station,places,Vi besökte polisstation på semestern.,en
zoo,zoo,places,Vi besökte zoo på semestern.,ett
nöjespark,amusement park,places,Vi besökte nöjespark på semestern.,en
köpcentrum,shopping mall,places,Vi besökte köpcentrum på semestern.,ett
marknad,market,places,Vi besökte marknad på semestern.,en
lekplats,playground,places,Vi besökte lekplats på semestern.,en
slott,castle,places,Vi besökte slott på semestern.,ett
rådhus,city hall,places,Vi besökte rådhus på semestern.,ett
ambassad,embassy,places,Vi besökte ambassad på semestern.,en
fyr,lighthouse,places,Vi besökte fyr på semestern.,en
tempel,temple,places,Vi besökte tempel på semestern.,ett
fängelse,prison,places,Vi besökte fängelse på semestern.,ett
bondgård,farm,places,Vi besökte bondgård på semestern.,en
naturreservat,nature reserve,places,Vi besökte naturreservat på semestern.,ett
glad,happy,emotions,Jag kände glad när jag hörde nyheten.,—
ledsen,sad,emotions,Jag kände ledsen när jag hörde nyheten.,—
arg,angry,emotions,Jag kände arg när jag hörde nyheten.,—
rädd,scared,emotions,Jag kände rädd när jag hörde nyheten.,—
förvånad,surprised,emotions,Jag kände förvånad när jag hörde nyheten.,—
äcklad,disgusted,emotions,Jag kände äcklad när jag hörde nyheten.,—
stolt,proud,emotions,Jag kände stolt när jag hörde nyheten.,—
skamsen,ashamed,emotions,Jag kände skamsen när jag hörde nyheten.,—
ensam,lonely,emotions,Jag kände ensam när jag hörde nyheten.,—
orolig,anxious,emotions,Jag kände orolig när jag hörde nyheten.,—
lugn,calm,emotions,Jag kände lugn när jag hörde nyheten.,—
kär,in love,emotions,Jag kände kär när jag hörde nyheten.,—
avundsjuk,jealous,emotions,Jag kände avundsjuk när jag hörde nyheten.,—
nöjd,satisfied,emotions,Jag kände nöjd när jag hörde nyheten.,—
besviken,disappointed,emotions,Jag kände besviken när jag hörde nyheten.,—
förvirrad,confused,emotions,Jag kände förvirrad när jag hörde nyheten.,—
trött,tired,emotions,Jag kände trött när jag hörde nyheten.,—
uttråkad,bored,emotions,Jag kände uttråkad när jag hörde nyheten.,—
tacksam,grateful,emotions,Jag kände tacksam när jag hörde nyheten.,—
nervös,nervous,emotions,Jag kände nervös när jag hörde nyheten.,—
ivrig,eager,emotions,Jag kände ivrig när jag hörde nyheten.,—
lycklig,happy/blissful,emotions,Jag kände lycklig när jag hörde nyheten.,—
hoppfull,hopeful,emotions,Jag kände hoppfull när jag hörde nyheten.,—
stor,big,adjectives,Han är väldigt stor.,—
liten,small,adjectives,Han är väldigt liten.,—
lång,long/tall,adjectives,Han är väldigt lång.,—
kort,short,adjectives,Han är väldigt kort.,—
bred,wide,adjectives,Han är väldigt bred.,—
smal,narrow,adjectives,Han är väldigt smal.,—
tjock,thick,adjectives,Han är väldigt tjock.,—
tunn,thin,adjectives,Han är väldigt tunn.,—
tung,heavy,adjectives,Han är väldigt tung.,—
lätt,light/easy,adjectives,Han är väldigt lätt.,—
hård,hard,adjectives,Han är väldigt hård.,—
mjuk,soft,adjectives,Han är väldigt mjuk.,—
varm,warm,adjectives,Han är väldigt varm.,—
kall,cold,adjectives,Han är väldigt kall.,—
het,hot,adjectives,Han är väldigt het.,—
sval,cool,adjectives,Han är väldigt sval.,—
snabb,fast,adjectives,Han är väldigt snabb.,—
långsam,slow,adjectives,Han är väldigt långsam.,—
ny,new,adjectives,Han är väldigt ny.,—
gammal,old,adjectives,Han är väldigt gammal.,—
ung,young,adjectives,Han är väldigt ung.,—
modern,modern,adjectives,Han är väldigt modern.,—
ren,clean,adjectives,Han är väldigt ren.,—
smutsig,dirty,adjectives,Han är väldigt smutsig.,—
vacker,beautiful,adjectives,Han är väldigt vacker.,—
ful,ugly,adjectives,Han är väldigt ful.,—
söt,cute/sweet,adjectives,Han är väldigt söt.,—
rolig,funny,adjectives,Han är väldigt rolig.,—
tråkig,boring,adjectives,Han är väldigt tråkig.,—
intressant,interesting,adjectives,Han är väldigt intressant.,—
viktig,important,adjectives,Han är väldigt viktig.,—
billig,cheap,adjectives,Han är väldigt billig.,—
dyr,expensive,adjectives,Han är väldigt dyr.,—
bra,good,adjectives,Han är väldigt bra.,—
dålig,bad,adjectives,Han är väldigt dålig.,—
rätt,correct,adjectives,Han är väldigt rätt.,—
fel,wrong,adjectives,Han är väldigt fel.,—
säker,safe,adjectives,Han är väldigt säker.,—
farlig,dangerous,adjectives,Han är väldigt farlig.,—
öppen,open,adjectives,Han är väldigt öppen.,—
stängd,closed,adjectives,Han är väldigt stängd.,—
full,full,adjectives,Han är väldigt full.,—
tom,empty,adjectives,Han är väldigt tom.,—
stark,strong,adjectives,Han är väldigt stark.,—
svag,weak,adjectives,Han är väldigt svag.,—
smart,smart,adjectives,Han är väldigt smart.,—
dum,stupid,adjectives,Han är väldigt dum.,—
rik,rich,adjectives,Han är väldigt rik.,—
fattig,poor,adjectives,Han är väldigt fattig.,—
fri,free,adjectives,Han är väldigt fri.,—
upptagen,busy,adjectives,Han är väldigt upptagen.,—
pigg,alert/lively,adjectives,Han är väldigt pigg.,—
hungrig,hungry,adjectives,Han är väldigt hungrig.,—
mätt,full (after eating),adjectives,Han är väldigt mätt.,—
törstig,thirsty,adjectives,Han är väldigt törstig.,—
sömnig,sleepy,adjectives,Han är väldigt sömnig.,—
frisk,healthy,adjectives,Han är väldigt frisk.,—
sjuk,sick,adjectives,Han är väldigt sjuk.,—
nyfiken,curious,adjectives,Han är väldigt nyfiken.,—
försiktig,careful,adjectives,Han är väldigt försiktig.,—
modig,brave,adjectives,Han är väldigt modig.,—
feg,cowardly,adjectives,Han är väldigt feg.,—
lat,lazy,adjectives,Han är väldigt lat.,—
flitig,hardworking,adjectives,Han är väldigt flitig.,—
äventyrlig,adventurous,adjectives,Han är väldigt äventyrlig.,—
perfekt,perfect,adjectives,Han är väldigt perfekt.,—
hemsk,terrible,adjectives,Han är väldigt hemsk.,—
underbar,wonderful,adjectives,Han är väldigt underbar.,—
fantastisk,fantastic,adjectives,Han är väldigt fantastisk.,—
otrolig,incredible,adjectives,Han är väldigt otrolig.,—
vanlig,common/ordinary,adjectives,Han är väldigt vanlig.,—
ovanlig,unusual,adjectives,Han är väldigt ovanlig.,—
noggrann,thorough/careful,adjectives,Han är väldigt noggrann.,—
kreativ,creative,adjectives,Han är väldigt kreativ.,—
praktisk,practical,adjectives,Han är väldigt praktisk.,—
pris,price,shopping,Jag hittade ett fint pris i affären.,ett
rabatt,discount,shopping,Jag hittade ett fint rabatt i affären.,en
rea,sale,shopping,Jag hittade ett fint rea i affären.,en
kassan,checkout,shopping,Jag hittade ett fint kassan i affären.,en
kvitto,receipt,shopping,Jag hittade ett fint kvitto i affären.,ett
kreditkort,credit card,shopping,Jag hittade ett fint kreditkort i affären.,ett
kontanter,cash,shopping,Jag hittade ett fint kontanter i affären.,en
varuhus,department store,shopping,Jag hittade ett fint varuhus i affären.,ett
märke,brand,shopping,Jag hittade ett fint märke i affären.,ett
storlek,size,shopping,Jag hittade ett fint storlek i affären.,en
mode,fashion,shopping,Jag hittade ett fint mode i affären.,ett
trend,trend,shopping,Jag hittade ett fint trend i affären.,en
erbjudande,deal/offer,shopping,Jag hittade ett fint erbjudande i affären.,ett
retur,return,shopping,Jag hittade ett fint retur i affären.,en
garanti,guarantee,shopping,Jag hittade ett fint garanti i affären.,en
musik,music,music,Jag spelar musik på fritiden.,en
sång,song,music,Jag spelar sång på fritiden.,en
låt,track,music,Jag spelar låt på fritiden.,en
album,album,music,Jag spelar album på fritiden.,ett
artist,artist,music,Jag spelar artist på fritiden.,en
band,band,music,Jag spelar band på fritiden.,ett
konsert,concert,music,Jag spelar konsert på fritiden.,en
gitarr,guitar,music,Jag spelar gitarr på fritiden.,en
piano,piano,music,Jag spelar piano på fritiden.,ett
trummor,drums,music,Jag spelar trummor på fritiden.,en
bas,bass,music,Jag spelar bas på fritiden.,en
violin,violin,music,Jag spelar violin på fritiden.,en
flöjt,flute,music,Jag spelar flöjt på fritiden.,en
trumpet,trumpet,music,Jag spelar trumpet på fritiden.,en
saxofon,saxophone,music,Jag spelar saxofon på fritiden.,en
mikrofon,microphone,music,Jag spelar mikrofon på fritiden.,en
playlist,playlist,music,Jag spelar playlist på fritiden.,en
rock,rock,music,Jag spelar rock på fritiden.,en
pop,pop,music,Jag spelar pop på fritiden.,en
jazz,jazz,music,Jag spelar jazz på fritiden.,en
klassisk musik,classical music,music,Jag spelar klassisk musik på fritiden.,en
rap,rap,music,Jag spelar rap på fritiden.,en
opera,opera,music,Jag spelar opera på fritiden.,en
musikfestival,music festival,music,Jag spelar musikfestival på fritiden.,en
körmusik,choral music,music,Jag spelar körmusik på fritiden.,en
konst,art,art & culture,konst är viktigt inom konst och kultur.,en
skulptur,sculpture,art & culture,skulptur är viktigt inom konst och kultur.,en
fotografi,photography,art & culture,fotografi är viktigt inom konst och kultur.,ett
film,film,art & culture,film är viktigt inom konst och kultur.,en
litteratur,literature,art & culture,litteratur är viktigt inom konst och kultur.,en
poesi,poetry,art & culture,poesi är viktigt inom konst och kultur.,en
roman,novel,art & culture,roman är viktigt inom konst och kultur.,en
novell,short story,art & culture,novell är viktigt inom konst och kultur.,en
galleri,gallery,art & culture,galleri är viktigt inom konst och kultur.,ett
utställning,exhibition,art & culture,utställning är viktigt inom konst och kultur.,en
kulturhus,cultural center,art & culture,kulturhus är viktigt inom konst och kultur.,ett
kalligrafi,calligraphy,art & culture,kalligrafi är viktigt inom konst och kultur.,en
animation,animation,art & culture,animation är viktigt inom konst och kultur.,en
grafik,graphic design,art & culture,grafik är viktigt inom konst och kultur.,en
karneval,carnival,art & culture,karneval är viktigt inom konst och kultur.,en
politik,politics,politics,politik är en del av demokratin.,en
regering,government,politics,regering är en del av demokratin.,en
parlament,parliament,politics,parlament är en del av demokratin.,ett
demokrati,democracy,politics,demokrati är en del av demokratin.,en
val,election,politics,val är en del av demokratin.,ett
röstning,voting,politics,röstning är en del av demokratin.,en
parti,party,politics,parti är en del av demokratin.,ett
minister,minister,politics,minister är en del av demokratin.,en
president,president,politics,president är en del av demokratin.,en
kung,king,politics,kung är en del av demokratin.,en
drottning,queen,politics,drottning är en del av demokratin.,en
lag,law,politics,lag är en del av demokratin.,en
rättighet,right,politics,rättighet är en del av demokratin.,en
frihet,freedom,politics,frihet är en del av demokratin.,en
jämlikhet,equality,politics,jämlikhet är en del av demokratin.,en
ekonomi,economy,economy,ekonomi är viktigt för ekonomin.,en
pengar,money,economy,pengar är viktigt för ekonomin.,en
investering,investment,economy,investering är viktigt för ekonomin.,en
aktie,stock/share,economy,aktie är viktigt för ekonomin.,en
inflation,inflation,economy,inflation är viktigt för ekonomin.,en
handel,trade,economy,handel är viktigt för ekonomin.,en
export,export,economy,export är viktigt för ekonomin.,en
import,import,economy,import är viktigt för ekonomin.,en
budget,budget,economy,budget är viktigt för ekonomin.,en
ränta,interest rate,economy,ränta är viktigt för ekonomin.,en
skuld,debt,economy,skuld är viktigt för ekonomin.,en
vinst,profit,economy,vinst är viktigt för ekonomin.,en
förlust,loss,economy,förlust är viktigt för ekonomin.,en
valuta,currency,economy,valuta är viktigt för ekonomin.,en
skatt,tax,economy,skatt är viktigt för ekonomin.,en
pass,passport,travel,Vi bokade en resa med pass.,ett
visum,visa,travel,Vi bokade en resa med visum.,ett
bagage,luggage,travel,Vi bokade en resa med bagage.,ett
resväska,suitcase,travel,Vi bokade en resa med resväska.,en
hotellbokning,hotel booking,travel,Vi bokade en resa med hotellbokning.,en
biljett,ticket,travel,Vi bokade en resa med biljett.,en
avgång,departure,travel,Vi bokade en resa med avgång.,en
ankomst,arrival,travel,Vi bokade en resa med ankomst.,en
karta,map,travel,Vi bokade en resa med karta.,en
guide,guide,travel,Vi bokade en resa med guide.,en
turist,tourist,travel,Vi bokade en resa med turist.,en
semester,vacation,travel,Vi bokade en resa med semester.,en
resa,trip,travel,Vi bokade en resa med resa.,en
destination,destination,travel,Vi bokade en resa med destination.,en
souvenir,souvenir,travel,Vi bokade en resa med souvenir.,en
turism,tourism,travel,Vi bokade en resa med turism.,en
reseförsäkring,travel insurance,travel,Vi bokade en resa med reseförsäkring.,en
incheckning,check-in,travel,Vi bokade en resa med incheckning.,en
vetenskap,science,science,Vi studerar vetenskap på universitetet.,en
forskning,research,science,Vi studerar forskning på universitetet.,en
experiment,experiment,science,Vi studerar experiment på universitetet.,ett
teori,theory,science,Vi studerar teori på universitetet.,en
hypotes,hypothesis,science,Vi studerar hypotes på universitetet.,en
laboratorium,laboratory,science,Vi studerar laboratorium på universitetet.,ett
kemikalie,chemical,science,Vi studerar kemikalie på universitetet.,en
element,element,science,Vi studerar element på universitetet.,ett
atom,atom,science,Vi studerar atom på universitetet.,en
molekyl,molecule,science,Vi studerar molekyl på universitetet.,en
energi,energy,science,Vi studerar energi på universitetet.,en
kraft,force,science,Vi studerar kraft på universitetet.,en
gravitation,gravity,science,Vi studerar gravitation på universitetet.,en
evolution,evolution,science,Vi studerar evolution på universitetet.,en
gen,gene,science,Vi studerar gen på universitetet.,en
DNA,DNA,science,Vi studerar DNA på universitetet.,ett
cell,cell,science,Vi studerar cell på universitetet.,en
raket,rocket,science,Vi studerar raket på universitetet.,en
rymden,outer space,science,Vi studerar rymden på universitetet.,en
planet,planet,science,Vi studerar planet på universitetet.,en
galax,galaxy,science,Vi studerar galax på universitetet.,en
miljö,environment,environment,miljö påverkar vår planet.,en
klimat,climate,environment,klimat påverkar vår planet.,ett
klimatförändring,climate change,environment,klimatförändring påverkar vår planet.,en
förorening,pollution,environment,förorening påverkar vår planet.,en
utsläpp,emissions,environment,utsläpp påverkar vår planet.,ett
återvinning,recycling,environment,återvinning påverkar vår planet.,en
hållbarhet,sustainability,environment,hållbarhet påverkar vår planet.,en
förnybar energi,renewable energy,environment,förnybar energi påverkar vår planet.,en
solenergi,solar energy,environment,solenergi påverkar vår planet.,en
vindkraft,wind power,environment,vindkraft påverkar vår planet.,en
utrotningshotad,endangered,environment,utrotningshotad påverkar vår planet.,—
ekosystem,ecosystem,environment,ekosystem påverkar vår planet.,ett
växthuseffekt,greenhouse effect,environment,växthuseffekt påverkar vår planet.,en
ozon,ozone,environment,ozon påverkar vår planet.,ett
biologisk mångfald,biodiversity,environment,biologisk mångfald påverkar vår planet.,en
samhälle,society,society,samhälle spelar en viktig roll i samhället.,ett
gemenskap,community,society,gemenskap spelar en viktig roll i samhället.,en
tradition,tradition,society,tradition spelar en viktig roll i samhället.,en
religion,religion,society,religion spelar en viktig roll i samhället.,en
immigration,immigration,society,immigration spelar en viktig roll i samhället.,en
integration,integration,society,integration spelar en viktig roll i samhället.,en
diskriminering,discrimination,society,diskriminering spelar en viktig roll i samhället.,en
rasism,racism,society,rasism spelar en viktig roll i samhället.,en
jämställdhet,gender equality,society,jämställdhet spelar en viktig roll i samhället.,en
mänskliga rättigheter,human rights,society,mänskliga rättigheter spelar en viktig roll i samhället.,en
välgörenhet,charity,society,välgörenhet spelar en viktig roll i samhället.,en
volontär,volunteer,society,volontär spelar en viktig roll i samhället.,en
rättvisa,justice,society,rättvisa spelar en viktig roll i samhället.,en
solidaritet,solidarity,society,solidaritet spelar en viktig roll i samhället.,en
mångfald,diversity,society,mångfald spelar en viktig roll i samhället.,en
kris,crisis,society,kris spelar en viktig roll i samhället.,en
konflikt,conflict,society,konflikt spelar en viktig roll i samhället.,en
fred,peace,society,fred spelar en viktig roll i samhället.,en
krig,war,society,krig spelar en viktig roll i samhället.,ett
medborgare,citizen,society,medborgare spelar en viktig roll i samhället.,en
kniv,knife,kitchen,Jag använder kniv när jag lagar mat.,en
gaffel,fork,kitchen,Jag använder gaffel när jag lagar mat.,en
sked,spoon,kitchen,Jag använder sked när jag lagar mat.,en
tallrik,plate,kitchen,Jag använder tallrik när jag lagar mat.,en
skål,bowl,kitchen,Jag använder skål när jag lagar mat.,en
kopp,cup,kitchen,Jag använder kopp när jag lagar mat.,en
glas,glass,kitchen,Jag använder glas när jag lagar mat.,ett
kastrull,pot,kitchen,Jag använder kastrull när jag lagar mat.,en
stekpanna,frying pan,kitchen,Jag använder stekpanna när jag lagar mat.,en
skärbräda,cutting board,kitchen,Jag använder skärbräda när jag lagar mat.,en
vispare,whisk,kitchen,Jag använder vispare när jag lagar mat.,en
korkskruv,corkscrew,kitchen,Jag använder korkskruv när jag lagar mat.,en
flaska,bottle,kitchen,Jag använder flaska när jag lagar mat.,en
burk,jar,kitchen,Jag använder burk när jag lagar mat.,en
durkslag,colander,kitchen,Jag använder durkslag när jag lagar mat.,ett
bakplåt,baking sheet,kitchen,Jag använder bakplåt när jag lagar mat.,en
mixer,blender,kitchen,Jag använder mixer när jag lagar mat.,en
vattenkokare,kettle,kitchen,Jag använder vattenkokare när jag lagar mat.,en
toaster,toaster,kitchen,Jag använder toaster när jag lagar mat.,en
basilika,basil,kitchen,Jag använder basilika när jag lagar mat.,en
persilja,parsley,kitchen,Jag använder persilja när jag lagar mat.,en
koriander,coriander,kitchen,Jag använder koriander när jag lagar mat.,en
timjan,thyme,kitchen,Jag använder timjan när jag lagar mat.,en
rosmarin,rosemary,kitchen,Jag använder rosmarin när jag lagar mat.,en
oregano,oregano,kitchen,Jag använder oregano när jag lagar mat.,en
kanel,cinnamon,kitchen,Jag använder kanel när jag lagar mat.,en
ingefära,ginger,kitchen,Jag använder ingefära när jag lagar mat.,en
gurkmeja,turmeric,kitchen,Jag använder gurkmeja när jag lagar mat.,en
spiskummin,cumin,kitchen,Jag använder spiskummin när jag lagar mat.,en
lagerblad,bay leaf,kitchen,Jag använder lagerblad när jag lagar mat.,ett
ett,one,numbers,ett är ett tal på svenska.,—
två,two,numbers,två är ett tal på svenska.,—
tre,three,numbers,tre är ett tal på svenska.,—
fyra,four,numbers,fyra är ett tal på svenska.,—
fem,five,numbers,fem är ett tal på svenska.,—
sex,six,numbers,sex är ett tal på svenska.,—
sju,seven,numbers,sju är ett tal på svenska.,—
åtta,eight,numbers,åtta är ett tal på svenska.,—
nio,nine,numbers,nio är ett tal på svenska.,—
tio,ten,numbers,tio är ett tal på svenska.,—
tjugo,twenty,numbers,tjugo är ett tal på svenska.,—
hundra,hundred,numbers,hundra är ett tal på svenska.,—
tusen,thousand,numbers,tusen är ett tal på svenska.,—
miljon,million,numbers,miljon är ett tal på svenska.,en
hälften,half,numbers,hälften är ett tal på svenska.,en
kvart,quarter,numbers,kvart är ett tal på svenska.,en
procent,percent,numbers,procent är ett tal på svenska.,en
summa,sum,numbers,summa är ett tal på svenska.,en
dubbel,double,numbers,dubbel är ett tal på svenska.,—
noll,zero,numbers,noll är ett tal på svenska.,en
ja,yes,basic,ja är ett vanligt ord på svenska.,—
nej,no,basic,nej är ett vanligt ord på svenska.,—
tack,thank you,basic,tack är ett vanligt ord på svenska.,—
förlåt,sorry,basic,förlåt är ett vanligt ord på svenska.,—
hej,hello,basic,hej är ett vanligt ord på svenska.,—
hejdå,goodbye,basic,hejdå är ett vanligt ord på svenska.,—
snälla,please (informal),basic,snälla är ett vanligt ord på svenska.,—
varsågod,you're welcome,basic,varsågod är ett vanligt ord på svenska.,—
ursäkta,excuse me,basic,ursäkta är ett vanligt ord på svenska.,—
välkommen,welcome,basic,välkommen är ett vanligt ord på svenska.,—
vänligen,please (formal),basic,vänligen är ett vanligt ord på svenska.,—
jordbävning,earthquake,nature,En jordbävning syns ute i naturen.,en
tsunami,tsunami,nature,En tsunami syns ute i naturen.,en
glaciär,glacier,nature,En glaciär syns ute i naturen.,en
korall,coral,nature,En korall syns ute i naturen.,en
alger,algae,nature,En alger syns ute i naturen.,en
fitness,fitness,health,fitness är viktigt för god hälsa.,en
övervikt,overweight,health,övervikt är viktigt för god hälsa.,en
undersökning,examination,health,undersökning är viktigt för god hälsa.,en
apotek,pharmacy,health,apotek är viktigt för god hälsa.,ett
smärtstillare,painkiller,health,smärtstillare är viktigt för god hälsa.,en
butiksägare,shop owner,profession,Han jobbar som butiksägare på sjukhuset.,en
revisor,accountant,profession,Han jobbar som revisor på sjukhuset.,en
statsminister,prime minister,politics,statsminister är en del av demokratin.,en
grundlag,constitution,politics,grundlag är en del av demokratin.,en
nattklubb,nightclub,places,Vi besökte nattklubb på semestern.,en
